title,firstname,middlename,lastname,name_suffix,nickname,party,state,district,in_office,gender,phone,fax,website,webform,congress_office,bioguide_id,votesmart_id,fec_id,govtrack_id,crp_id,twitter_id,congresspedia_url,youtube_url,facebook_id,official_rss,senate_class,birthdate
Gov,Robert,,Bentley,,,,AL,,,,334-242-7100,,,,,,,,,,GovernorBentley,,,,,,
Lt Gov,Kay,,Ivey,,,,AL,,,,334-242-7900,,,,,,,,,,LtGovIvey,,,,,,
AG,Luther,,Strange,,,,AL,,,,334-242-7300,,,,,,,,,,lutherstrange,,,,,,
,House,,,,,,AL,,,,334-242-7600,,,,,,,,,,,,,,,,
,House,,GOP,,,,AL,,,,(334) 242-7600,,,,,,,,,,ALHouseGOP,,,,,,
,House,,Dems,,,,AL,,,,(334) 242-7600,,,,,,,,,,ALHouseDems,,,,,,
,Senate,,,,,,AL,,,,(334) 242-7800,,,,,,,,,,,,,,,,
,Senate,,GOP,,,,AL,,,,(334) 242-7800,,,,,,,,,,AL_SenateGOP,,,,,,
,Senate,,Dems,,,,AL,,,,(334) 242-7800,,,,,,,,,,,,,,,,
Gov,Sean,,Parnell,,,,AK,,,,907-465-3500,,,,,,,,,,AKGovParnell,,,,,,
Lt Gov,Mead,,Treadwell,,,,AK,,,,907-465-3520,,,,,,,,,,LGMeadTreadwell,,,,,,
AG,Michael,, Geraghty,,,,AK,,,,907-465-3600,,,,,,,,,,,,,,,,
,House,,,,,,AK,,,,907-465-4648,,,,,,,,,,,,,,,,
,House,,GOP,,,,AK,,,,907-465-4648,,,,,,,,,,houmaj,,,,,,
,House,,Dems,,,,AK,,,,907-465-4648,,,,,,,,,,AKHouseDems,,,,,,
,Senate,,,,,,AK,,,,907-465-4648,,,,,,,,,,,,,,,,
,Senate,,GOP,,,,AK,,,,907-465-4648,,,,,,,,,,,,,,,,
,Senate,,Dems,,,,AK,,,,907-465-4648,,,,,,,,,,AKSenMajority,,,,,,
Gov,Jan,, Brewer,,,,AZ,,,,(602) 542-4331,,,,,,,,,,GovBrewer,,,,,,
AG,Tom,, Horne,,,,AZ,,,,(602) 542-5025 ,,,,,,,,,,arizonaago,,,,,,
,House,,,,,,AZ,,,,(602) 926-3559,,,,,,,,,,,,,,,,
,House,,GOP,,,,AZ,,,,(602) 926-3559,,,,,,,,,,AZHouseGOP,,,,,,
,House,,Dems,,,,AZ,,,,(602) 926-3559,,,,,,,,,,AZHouseDems,,,,,,
,Senate,,,,,,AZ,,,,(602) 926-3559,,,,,,,,,,,,,,,,
,Senate,,GOP,,,,AZ,,,,(602) 926-3559,,,,,,,,,,AZSenateGOP,,,,,,
,Senate,,Dems,,,,AZ,,,,(602) 926-3559,,,,,,,,,,AZSenateDems,,,,,,
Gov,Mike,,Beebe,,,,AR,,,,501-682-2345,,,,,,,,,,GovBeebeMedia,,,,,,
Lt Gov,Mark,,Darr,,,,AR,,,,501-682-2144,,,,,,,,,,ltgovmarkdarr,,,,,,
AG,Dustin,,McDaniel,,,,AR,,,,(501) 682-2007,,,,,,,,,,AttyGenMcDaniel,,,,,,
,House,,,,,,AR,,,,501-682-6211,,,,,,,,,,ArkansasHouse,,,,,,
,House,,GOP,,,,AR,,,,501-682-6211,,,,,,,,,,,,,,,,
,House,,Dems,,,,AR,,,,501-682-6211,,,,,,,,,,,,,,,,
,Senate,,,,,,AR,,,,501-682-2902 ,,,,,,,,,,ArkansasSenate,,,,,,
,Senate,,GOP,,,,AR,,,,501-682-2902 ,,,,,,,,,,,,,,,,
,Senate,,Dems,,,,AR,,,,501-682-2902 ,,,,,,,,,,,,,,,,
Gov,Jerry,,Brown,,,,CA,,,,(916) 445-2841,,,,,,,,,,JerryBrownGov,,,,,,
Lt Gov,Gavin,,Newsom,,,,CA,,,,(916) 445-8994,,,,,,,,,,GavinNewsom,,,,,,
AG,Kamala,,Harris,,,,CA,,,,(916) 322-3360,,,,,,,,,,KamalaHarris,,,,,,
,House,,,,,,CA,,,,(916) 319-2053,,,,,,,,,,,,,,,,
