ShortCode,StateName,Political_HashTag
AL,Alabama,#alpolitics
AK,Alaska,#alaska
AZ,Arizona,#azpolitics
AR,Arkansas,#arleg
CA,California,#capolitics
CO,Colorado,#copolitics
CT,Connecticut,#ctpolitics
DE,Delaware,#netde
FL,Florida,#sayfie
GA,Georgia,#gapol
HI,Hawaii,#hipolitics
ID,Idaho,#idpol
IL,Illinois,#ilpol
IN,Indiana,#inpol
IA,Iowa,#iapol
KS,Kansas,#kspolitics
KY,Kentucky,#bgpolitics
LA,Louisiana,#lapolitics
ME,Maine,#mepolitics
MD,Maryland,#mdpol
MA,Massachusetts,#mapoli
MI,Michigan,#mileg
MN,Minnesota,#stribpol
MS,Mississippi,#mississippi
MO,Missouri,#mopol
MT,Montana,#mtpol
NE,Nebraska,#nepol
NV,Nevada,#nvpol
NH,New Hampshire,#nhpolitics
NJ,New Jersey,#njpol
NM,New Mexico,#nmpol
NY,New York,#nypol
NC,North Carolina,#ncpol
ND,North Dakota,#ndpol
OH,Ohio,#ohtcot
OK,Oklahoma,#oktcot
OR,Oregon,#orpol
PA,Pennsylvania,#papol
RI,Rhode Island,#ri
SC,South Carolina,#sctweets
SD,South Dakota,#sdpol
TN,Tennessee,#tnleg
TX,Texas,#txlege
UT,Utah,#utpol
VT,Vermont,#vtpoli
VA,Virginia,#vapol
WA,Washington,#wapol
WV,West Virginia,#wvpol
WI,Wisconsin,#wipolitics
WY,Wyoming,#wyoming
